==12716== NVPROF is profiling process 12716, command: .\runnable.exe
==12716== Profiling application: .\runnable.exe
==12716== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,KB,KB,GB/s,,,,,,,
807.618546,0.001472,1,3,1,1,32,1,14,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","tanh(float*, int, int, int)",184
807.631954,0.007679,3,1,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_product_shared(float*, float*, float*, int, int, int, int)",185
807.635300,0.040800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",186
807.673457,0.001760,1,1,1,10,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","exponential(float*, int)",186
807.676700,0.060200,,,,,,,,,,,,,,,,,"cudaMemcpy",187
807.719184,0.001440,,,,,,,,,,0.039063,0.025870,"Device","Pageable","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy DtoH]",187
807.745400,0.026600,,,,,,,,,,,,,,,,,"cudaMemcpy",188
807.769360,0.000192,,,,,,,,,,0.039063,0.194026,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",188
807.772400,0.021500,,,,,,,,,,,,,,,,,"cudaMemcpy",189
807.790320,0.000864,,,,,,,,,,0.039063,0.043117,"Pageable","Device","NVIDIA GeForce MX250 (0)","1","7","[CUDA memcpy HtoD]",189
807.794800,0.035000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",190
807.825519,0.001472,1,1,1,10,1,1,8,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","subtraction(float*, float*, float*, int)",190
807.834800,0.022300,,,,,,,,,,,,,,,,,"cudaLaunchKernel",191
807.854222,0.003840,3,1,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",191
807.858200,0.039800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",192
807.895662,0.003648,1,3,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_transpose_product_shared(float*, float*, float*, int, int, int, int)",192
807.899300,0.022200,,,,,,,,,,,,,,,,,"cudaLaunchKernel",193
807.919501,0.001280,1,3,1,1,32,1,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",193
807.922400,0.026900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",194
807.946829,0.001376,1,3,1,1,32,1,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","scalar_subtraction(float*, float*, int, int, int)",194
807.950200,0.018000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",195
807.966061,0.010176,4,3,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",195
807.969000,0.018100,,,,,,,,,,,,,,,,,"cudaLaunchKernel",196
